name,website,company_size,industry,headquarters_city,headquarters_country,type,year_founded,followers,about_us,Lang_1,Lang_2,Lang_3,Lang_4,Lang_5,Projects in their portfolio,rating,review_count,service_1,service_2,service_3,service_4,service_5,service_6,service_7,service_8,service_9,service_10,service_11,service_12,service_13,service_14,service_15,service_16,service_17,service_18,service_19,service_20,service_21,service_22,service_23,service_24
SharkAgency GmbH,https://sharkagency.ch?utm_source=sortlist&utm_medium=profile&utm_campaign=,11.0,Video Focus,Baar,Switzerland,,2019.0,0,"Die Nr. 1 SEMRush Agentur der Schweiz Mit fortschrittlichem E-Commerce, maßgeschneiderten Werbekampagnen & einer tiefgründigen Suchmaschinenoptimierung machen wir Ihr Unternehmen sichtbar. Unsere Digitale Marketing Agentur sieht jeden Kunden als Partner, da auch wir mit Ihrem Erfolg wachsen und uns Ihre Interessen wichtig sind. Wir arbeiten transparent, zielgerichtet und stets im Interesse des Kunden. Es gilt nicht nur zu verstehen, was gesucht wird – sondern auch die Wünsche umzusetzen. Denn Ihr Erfolg ist unser einziges Ziel. Mit uns werden Sie digital sichtbar und im Internet mehr verkaufen.",Croatian,English,French,German,,5.0,5.0,4.0,e-commerce,seo,website creation,advertising,social media,marketing,website administration,branding & positioning,market research,copywriting,,,,,,,,,,,,,,
Snack Groupe,https://www.snackgroupe.com?utm_source=sortlist&utm_medium=profile&utm_campaign=,25.0,Video Focus,Paris,France,,2021.0,0,"Snack Groupe – La Transformation Digitale sur Mesure, Taillée pour Vous 🚀 Chez Snack Groupe, nous croyons que chaque projet est unique, comme vous. Que ce soit pour renforcer votre présence en ligne , captiver votre audience avec des expériences immersives , ou sublimer votre marque avec des vidéos impactantes , nous transformons vos idées en solutions digitales qui laissent une impression durable. 🎯 Vous avez un rêve pour votre marque ? Nous le rendons réel. 🌈 Avec notre expertise, nous créons des solutions sur-mesure qui racontent votre histoire, engagent votre audience et propulsent votre entreprise dans le futur. Voici comment nous donnons vie à chaque projet pour en faire un succès : 🌐 Sites et Applications qui Transforment Imaginez un site ou une application qui incarne parfaitement votre univers. Nous concevons des plateformes personnalisées qui allient design et performance pour captiver et fidéliser vos utilisateurs. 🔍 SEO et Publicité en Ligne pour une Visibilité Maximale Grâce à des stratégies de SEO et de publicité en ligne ciblée , nous boostons votre visibilité pour atteindre votre audience idéale, au bon moment. Chaque clic compte : nos actions maximisent votre retour sur investissement. 🌌 AR/VR et Jeux qui Éveillent les Sens Pour nous, l’immersion fait la différence. Avec des technologies de pointe en AR, VR et jeu vidéo, nous créons des expériences engageantes pour former, divertir ou communiquer, en offrant à vos utilisateurs un moment unique qui renforce votre message. 🎥 Vidéos qui Marquent les Esprits Une image vaut mille mots – un film en vaut un million ! Nos vidéos et publicités captivantes sont conçues pour capter l’attention et s’adaptent à chaque plateforme. Faites de votre marque une référence visuelle. Snack Groupe, c’est une équipe de passionnés 🎉 Nous sommes plus que des techniciens, nous sommes vos partenaires créatifs et technologiques . Ensemble, nous faisons de chaque projet une réussite partagée, avec : - ✨ Transparence absolue - ✨ Réactivité à toute épreuve - ✨ Créativité débordante - ✨ Écoute active et compréhension de vos besoins Alors, prêts à franchir le cap ?🌟 Chez Snack Groupe, l’avenir se crée maintenant . Rejoignez-nous pour donner vie à vos idées et captiver votre audience comme jamais.",English,French,Japanese,,,27.0,4.97,10.0,website creation,seo,online advertising,software development,game development,video production,mobile app,web application,3d,motion design,,,,,,,,,,,,,,
V Media,https://v-media.it/?utm_source=sortlist&utm_medium=profile&utm_campaign=,12.0,Video Focus,Velasca,Italy,,2021.0,0,"Siamo una digital interactive agency che crede in un modo rivoluzionario di fare marketing e comunicazione attraverso soluzioni interattive e innovative. Offriamo la comunicazione digitale più coinvolgente del mercato grazie a strategie mirate, contenuti di qualità e tecnologie innovative che migliorano processi di comunicazione aziendale, aumentando l'engagement e generando risultati misurabili per il tuo business.",English,Italian,Spanish,,,21.0,5.0,10.0,branding & positioning,video production,website creation,marketing,content strategy,social media,online advertising,e-commerce,innovation,media planning,,,,,,,,,,,,,,
KMS AGENCY SAS,,47.0,Video Focus,Pereira,Colombia,,2017.0,0,"KMS Agency es una agencia de publicidad internacional fundada en 2017 en París, Francia. Su fundador, de origen colombiano, decidió en 2022 regresar a su ciudad natal en Colombia y romper fronteras al abrir su primera sucursal en Pereira. KMS Agency se especializa en la generación de clientes potenciales (Leads) con un enfoque 100% audiovisual. La agencia ha invertido más de 15 millones de dólares en publicidad en redes sociales, sirviendo a más de 500 clientes en tres idiomas y en diversos países, incluyendo Panamá, Colombia, Francia, Bélgica y Mónaco, entre otros. Esta estrategia ha resultado en un significativo retorno sobre la inversión para sus clientes.",French,Spanish,,,,4.0,5.0,2.0,advertising,video production,copywriting,growth marketing,marketing,content strategy,digital strategy,online advertising,,,,,,,,,,,,,,,,
S4U - Services For You,,25.0,Video Focus,Rabat,Morocco,,2008.0,0,"| Site : S4u.ma | Tel : 00 212 5 37 696 999 | Tel : 00212 661 599 407 | E : Commercial@s4u.ma | Basée à Rabat, S4U est une entreprise spécialisée dans la gestion événementielle de premier ordre, offrant ses services partout au Maroc. Nous excellons dans la création d'événements mémorables grâce à des solutions audiovisuelles de pointe, parfaitement adaptées aux besoins spécifiques de nos clients. Que ce soit pour une réunion d'entreprise, une conférence de haut niveau, ou un événement public de grande envergure, nous assurons une exécution impeccable avec des équipements de dernière génération et une équipe technique hautement qualifiée. En plus de nos services événementiels, S4U est un acteur majeur dans divers domaines technologiques. Nous fournissons des solutions complètes en Pro AV, Cloud et Datacenter, Cybersécurité, Communication Unifiée, Sécurité Physique, et Transformation Digitale. Notre mission est d'accompagner les entreprises marocaines dans l'intégration de technologies avancées pour optimiser leur performance, renforcer leur sécurité et stimuler leur croissance numérique. Faites confiance à S4U pour une expérience exceptionnelle, alliant professionnalisme, innovation et engagement, tant dans la gestion événementielle que dans les services technologiques, partout au Maroc.",Arabic,English,French,,,8.0,5.0,2.0,event,audio production,graphic design,photography,video production,copywriting,graphic identity,motion design,online advertising,branding & positioning,,,,,,,,,,,,,,
CreatUp Kreativagentur,,5.0,Video Focus,Oldenburg,Germany,,2020.0,0,"CreatUp - Der Name ist Programm. Doch was soll das eigentlich heißen? Unser Name besteht aus den englischen Worten ""create"" und ""up"", was für uns heißt wir sind kreativ und kreieren (""create"") und das auch noch so, dass Ihr Umsatz steigt, Ihre Produktivität steigt oder Ihr Unternehmen im Ansehen steigt (""up"" + Pfeil über dem Logo) Vielleicht wirkt das auf Sie jetzt kitschig, vielleicht aber auch interessant und aufschlussreich. Was wir jedoch versichern können ist das wir unseren Namen alle Ehre machen: Schon für über 40 Unternehmen haben wir... ▸ Umsätze gesteigert ▸ Websiten erstellt ▸ Kunden generiert ▸ Content kreiert ... und das können wir auch gut!",English,German,,,,3.0,5.0,4.0,community management,social media,graphic design,photography,copywriting,online advertising,video production,,,,,,,,,,,,,,,,,
VICAR Agency,,6.0,Video Focus,Bruges,Belgium,,2022.0,0,"As a full-service branding agency, we’re here to help where needed, using our expertise to achieve your goals together.",English,,,,,4.0,5.0,2.0,marketing,branding & positioning,website creation,content strategy,video production,photography,social media,advertising,graphic design,motion design,,,,,,,,,,,,,,
Spacekayak,https://www.spacekayak.xyz?utm_source=sortlist&utm_medium=profile&utm_campaign=,12.0,Video Focus,Wilmington,United States,,2021.0,0,"Spacekayak is a cross-disciplinary creative partner for future-builders in Crypto, AI & SaaS. Over the past three years, we've has shipped 50+ projects, contributing to over $300M in funding raised by our portfolio companies. We offer creative solutions for the modern brand, specialising in visual branding, communications, product design, and tailored GTM strategies to get teams market-ready. We are a team of young creatives and seasoned experts who deliver future-focused design and bring visionary ideas to life through exceptional collaboration and expertise.",English,,,,,5.0,4.75,1.0,branding & positioning,website creation,3d,graphic design,video production,motion design,ergonomy (ux/ui),copywriting,,,,,,,,,,,,,,,,
Savour Digital Agency,,15.0,Video Focus,Elche,Spain,,2015.0,0,"Fundada en 2015, Savour es una agencia multidisciplinar con el eje basado en la calidad en la comunicacón, buena imagen y buen producto. Creamos proyectos basados en las necesidades de nuestros clientes con una especial atención en su imagen, sus resultados y objetivos.",English,Spanish,,,,3.0,4.97,8.0,digital strategy,video production,photography,branding & positioning,graphic design,advertising,community management,content strategy,corporate communication,email marketing,,,,,,,,,,,,,,
HOKO Productions,,3.0,Video Focus,Paris,France,,,0,"HOKO Productions est une société de production audiovisuelle spécialisée dans la vidéo communicationnelle (pub digitale, captation, interviews), la vidéo pour la musique ainsi que le documentaire. Implantée dans le 13ème arrondissement de Paris, HOKO assure la chaîne de fabrication audiovisuelle depuis la production jusqu'à la post-production, notamment grâce à son indépendance matérielle et technicienne.",English,French,,,,10.0,5.0,4.0,video production,corporate communication,social media,audio production,online advertising,advertising,event,motion design,photography,branding & positioning,,,,,,,,,,,,,,
WE LIKE YOU,http://welikeyou.social/?utm_source=sortlist&utm_medium=profile&utm_campaign=,15.0,Video Focus,Antwerp,Belgium,,2016.0,0,"WE LIKE YOU is a team of social media storytellers, community masterminds and advertising experts. Every day, we look for different ways to bridge the gap between businesses and the ir consumers by using tailored social media strategies and carefully customized creative solutions. We strongly believe that social media requires a unique skillset with little overlap from other marketing forms. We focus on one thing and we do it well. We help brands discover their unique tone of voice, in order to implement a social media plan that increases business successes. We kick off with a brilliant idea, which leads to a customized digital approach attracting your target group. Because that’s what we’re here for: to engage your audience! Anyway, we want you to be a flamingo in a flock of pigeons! Say ""Hi"" and let's create something great together.",Dutch,English,French,German,,20.0,4.59,8.0,social media,content strategy,influencer marketing,copywriting,digital strategy,advertising,online advertising,community management,media planning,photography,,,,,,,,,,,,,,
